UID,Type,Premises,Address,Locality,Address1,Address2,Unnamed: 7,NZDep13d_nbr,NZDep13_CAU,full_address,geo,lat,lng
TOB1,,Albany Village Dairy,1/225 Dairy Flat Highway,Albany,1/225 Dairy Flat Highway,Albany,,,4.0,"Albany Village Dairy, 1/225 Dairy Flat Highway, Albany, Auckland","[{'address_components': [{'long_name': '3', 'short_name': '3', 'types': ['subpremise']}, {'long_name': '225', 'short_name': '225', 'types': ['street_number']}, {'long_name': 'Dairy Flat Highway', 'short_name': 'Dairy Flat Hwy', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '3/225 Dairy Flat Highway, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7254597, 'lng': 174.6952863}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7239843697085, 'lng': 174.6967872302915}, 'southwest': {'lat': -36.7266823302915, 'lng': 174.6940892697085}}}, 'partial_match': True, 'place_id': 'ChIJI0bGp407DW0R2S1D0kGY7gk', 'plus_code': {'compound_code': '7MFW+R4 Auckland, New Zealand', 'global_code': '4VMP7MFW+R4'}, 'types': ['establishment', 'food', 'point_of_interest', 'store']}]",-36.7254597,174.6952863
TOB2,,Pak N Save - Albany,139-163 Don McKintosh Drive,Albany,139-163 Don McKintosh Drive,Albany,,4.0,4.0,"Pak N Save - Albany, 139-163 Don McKintosh Drive, Albany, Auckland","[{'address_components': [{'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': 'Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7299648, 'lng': 174.7070417}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': -36.7287762697085, 'lng': 174.7080727302915}, 'southwest': {'lat': -36.7314742302915, 'lng': 174.7053747697085}}}, 'partial_match': True, 'place_id': 'ChIJ1bzFe5Q7DW0RgJbtrSY611s', 'plus_code': {'compound_code': '7PC4+2R Auckland, New Zealand', 'global_code': '4VMP7PC4+2R'}, 'types': ['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket']}]",-36.7299648,174.7070417
TOB3,,Highway Convenience Store,178 Albany Highway,Albany,178 Albany Highway,Albany,,4.0,2.0,"Highway Convenience Store, 178 Albany Highway, Albany, Auckland","[{'address_components': [{'long_name': '178', 'short_name': '178', 'types': ['street_number']}, {'long_name': 'Albany Highway', 'short_name': 'Albany Hwy', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '178 Albany Highway, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7565391, 'lng': 174.7020423}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7553102197085, 'lng': 174.7032813802915}, 'southwest': {'lat': -36.75800818029149, 'lng': 174.7005834197085}}}, 'partial_match': True, 'place_id': 'ChIJ2SSoEmk5DW0RNOWWaUXtsKg', 'plus_code': {'compound_code': '6PV2+9R Auckland, New Zealand', 'global_code': '4VMP6PV2+9R'}, 'types': ['convenience_store', 'establishment', 'food', 'point_of_interest', 'store']}]",-36.7565391,174.7020423
TOB4,,Gull - Albany,183 Albany Highway,Albany,183 Albany Highway,Albany,,4.0,4.0,"Gull - Albany, 183 Albany Highway, Albany, Auckland","[{'address_components': [{'long_name': '183', 'short_name': '183', 'types': ['street_number']}, {'long_name': 'Albany Highway', 'short_name': 'Albany Hwy', 'types': ['route']}, {'long_name': 'Rosedale', 'short_name': 'Rosedale', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0629', 'short_name': '0629', 'types': ['postal_code']}], 'formatted_address': '183 Albany Highway, Rosedale, Auckland 0629, New Zealand', 'geometry': {'location': {'lat': -36.7561399, 'lng': 174.702538}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7547518197085, 'lng': 174.7036367302915}, 'southwest': {'lat': -36.75744978029149, 'lng': 174.7009387697085}}}, 'place_id': 'ChIJRYiJLFo5DW0RsgFjiq9-0WM', 'plus_code': {'compound_code': '6PV3+G2 Auckland, New Zealand', 'global_code': '4VMP6PV3+G2'}, 'types': ['establishment', 'gas_station', 'point_of_interest']}]",-36.7561399,174.702538
TOB5,,Albany Central Superette,"Block C1, 210 Albany Highway",Albany,210 Albany Highway,Albany,,4.0,2.0,"Albany Central Superette, Block C1, 210 Albany Highway, Albany, Auckland","[{'address_components': [{'long_name': 'C1', 'short_name': 'C1', 'types': ['subpremise']}, {'long_name': '210', 'short_name': '210', 'types': ['street_number']}, {'long_name': 'Dairy Flat Highway', 'short_name': 'Dairy Flat Hwy', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': 'C1/210 Dairy Flat Highway, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7253166, 'lng': 174.6970846}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7240541197085, 'lng': 174.6983383302915}, 'southwest': {'lat': -36.7267520802915, 'lng': 174.6956403697085}}}, 'partial_match': True, 'place_id': 'ChIJj2e2Fd07DW0Rym9QWDmm7r8', 'plus_code': {'compound_code': '7MFW+VR Auckland, New Zealand', 'global_code': '4VMP7MFW+VR'}, 'types': ['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket']}, {'address_components': [{'long_name': 'Block C1', 'short_name': 'Block C1', 'types': ['subpremise']}, {'long_name': '210', 'short_name': '210', 'types': ['street_number']}, {'long_name': 'Albany Highway', 'short_name': 'Albany Hwy', 'types': ['route']}, {'long_name': 'Schnapper Rock', 'short_name': 'Schnapper Rock', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': 'Block C1/210 Albany Highway, Schnapper Rock, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7552917, 'lng': 174.6992905}, 'southwest': {'lat': -36.7553912, 'lng': 174.6991555}}, 'location': {'lat': -36.755344, 'lng': 174.6992036}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7539391197085, 'lng': 174.7005379302915}, 'southwest': {'lat': -36.7566370802915, 'lng': 174.6978399697085}}}, 'partial_match': True, 'place_id': 'EkdCbG9jayBDMS8yMTAgQWxiYW55IEhpZ2h3YXksIFNjaG5hcHBlciBSb2NrLCBBdWNrbGFuZCAwNjMyLCBOZXcgWmVhbGFuZCIkGiIKFgoUChIJ6VH_S1c5DW0R5fOveCcUi7QSCEJsb2NrIEMx', 'types': ['subpremise']}]",-36.7253166,174.6970846
TOB6,,New World - Albany,"Level 2, M02, 219 Don Mckintosh Drive",Albany,219 Don Mckinnon Drive,Albany,,3.0,4.0,"New World - Albany, Level 2, M02, 219 Don Mckintosh Drive, Albany, Auckland","[{'address_components': [{'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7281436, 'lng': 174.710513}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7268810697085, 'lng': 174.7120948302915}, 'southwest': {'lat': -36.7295790302915, 'lng': 174.7093968697085}}}, 'partial_match': True, 'place_id': 'ChIJK_Iz35Q7DW0RJ4a1GemHhP0', 'plus_code': {'compound_code': '7PC6+P6 Auckland, New Zealand', 'global_code': '4VMP7PC6+P6'}, 'types': ['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store', 'supermarket']}, {'address_components': [{'long_name': 'Level 2, M02', 'short_name': 'Level 2, M02', 'types': ['subpremise']}, {'long_name': '219', 'short_name': '219', 'types': ['street_number']}, {'long_name': 'Don McKinnon Drive', 'short_name': 'Don McKinnon Dr', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': 'Level 2, M02/219 Don McKinnon Drive, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.72777, 'lng': 174.7110399}, 'southwest': {'lat': -36.7288316, 'lng': 174.7102391}}, 'location': {'lat': -36.7282022, 'lng': 174.7105751}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7269518197085, 'lng': 174.7119884802915}, 'southwest': {'lat': -36.7296497802915, 'lng': 174.7092905197085}}}, 'partial_match': True, 'place_id': 'EkdMZXZlbCAyLCBNMDIvMjE5IERvbiBNY0tpbm5vbiBEcml2ZSwgQWxiYW55LCBBdWNrbGFuZCAwNjMyLCBOZXcgWmVhbGFuZCIoGiYKFgoUChIJfZyrWJU7DW0R8lOo6knjWEQSDExldmVsIDIsIE0wMg', 'types': ['subpremise']}]",-36.7281436,174.710513
TOB7,,Amits Superette,243 Rosedale Road,Albany,243 Rosedale Road,Albany,,5.0,4.0,"Amits Superette, 243 Rosedale Road, Albany, Auckland","[{'address_components': [{'long_name': '243', 'short_name': '243', 'types': ['street_number']}, {'long_name': 'Rosedale Road', 'short_name': 'Rosedale Rd', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '243 Rosedale Road, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7413987, 'lng': 174.7109269}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.74011316970849, 'lng': 174.7121862802915}, 'southwest': {'lat': -36.74281113029149, 'lng': 174.7094883197085}}}, 'partial_match': True, 'place_id': 'ChIJv-wdXt07DW0RIKJGwnXzyvY', 'plus_code': {'compound_code': '7P56+C9 Auckland, New Zealand', 'global_code': '4VMP7P56+C9'}, 'types': ['establishment', 'food', 'grocery_or_supermarket', 'point_of_interest', 'store']}]",-36.7413987,174.7109269
TOB8,,Caltex Oteha Valley,256 Oteha Valley Road,Albany,256 Oteha Valley Road,Albany,,4.0,4.0,"Caltex Oteha Valley, 256 Oteha Valley Road, Albany, Auckland","[{'address_components': [{'long_name': '256', 'short_name': '256', 'types': ['street_number']}, {'long_name': 'Oteha Valley Road', 'short_name': 'Oteha Valley Rd', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '256 Oteha Valley Road, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7203645, 'lng': 174.7098652}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7189186697085, 'lng': 174.7112857802915}, 'southwest': {'lat': -36.7216166302915, 'lng': 174.7085878197085}}}, 'partial_match': True, 'place_id': 'ChIJrzgnypc7DW0R4yOPcPJCEIk', 'plus_code': {'compound_code': '7PH5+VW Auckland, New Zealand', 'global_code': '4VMP7PH5+VW'}, 'types': ['establishment', 'gas_station', 'point_of_interest']}]",-36.7203645,174.7098652
TOB9,,Green and Grocery World,28 The Avenue,Albany,28 The Avenue,Albany,,4.0,4.0,"Green and Grocery World, 28 The Avenue, Albany, Auckland","[{'address_components': [{'long_name': '28', 'short_name': '28', 'types': ['street_number']}, {'long_name': 'The Avenue', 'short_name': 'The Avenue', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '28 The Avenue, Albany, Auckland 0632, New Zealand', 'geometry': {'bounds': {'northeast': {'lat': -36.7238669, 'lng': 174.6887844}, 'southwest': {'lat': -36.7242731, 'lng': 174.6883059}}, 'location': {'lat': -36.724074, 'lng': 174.6885651}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7227414197085, 'lng': 174.6899343302915}, 'southwest': {'lat': -36.7254393802915, 'lng': 174.6872363697085}}}, 'partial_match': True, 'place_id': 'ChIJDWRE6nU8DW0RSDxlbye95WU', 'types': ['premise']}]",-36.724074,174.6885651
TOB10,,Z- Albany,287 Oteha Valley Road,Albany,287 Oteha Valley Road,Albany,,4.0,4.0,"Z- Albany, 287 Oteha Valley Road, Albany, Auckland","[{'address_components': [{'long_name': '287', 'short_name': '287', 'types': ['street_number']}, {'long_name': 'Oteha Valley Road', 'short_name': 'Oteha Valley Rd', 'types': ['route']}, {'long_name': 'Albany', 'short_name': 'Albany', 'types': ['political', 'sublocality', 'sublocality_level_1']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['locality', 'political']}, {'long_name': 'Auckland', 'short_name': 'Auckland', 'types': ['administrative_area_level_1', 'political']}, {'long_name': 'New Zealand', 'short_name': 'NZ', 'types': ['country', 'political']}, {'long_name': '0632', 'short_name': '0632', 'types': ['postal_code']}], 'formatted_address': '287 Oteha Valley Road, Albany, Auckland 0632, New Zealand', 'geometry': {'location': {'lat': -36.7252801, 'lng': 174.6978981}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': -36.7240114697085, 'lng': 174.6992542802915}, 'southwest': {'lat': -36.7267094302915, 'lng': 174.6965563197085}}}, 'partial_match': True, 'place_id': 'ChIJqTuYuo07DW0RXzbxTJnkShY', 'plus_code': {'compound_code': '7MFX+V5 Auckland, New Zealand', 'global_code': '4VMP7MFX+V5'}, 'types': ['establishment', 'gas_station', 'point_of_interest']}]",-36.7252801,174.6978981
